jobID 25846850
noise_avg 0.099878
Fth 16.0602755757
Sth 8.18221453543
Sth_G 0.0797212362176

Flux, Completeness, Completeness_Gauss
19.5, 1.0, 0.99998
6.0, 0.49958, 0.43338
9.0, 0.87582, 0.82107
9.5, 0.90824, 0.8601
13.0, 0.99315, 0.98528
10.5, 0.95425, 0.92202
12.0, 0.98509, 0.96961
6.5, 0.58111, 0.50913
5.5, 0.41806, 0.3595
8.5, 0.83373, 0.77216
11.0, 0.96769, 0.94137
8.0, 0.78471, 0.71625
15.5, 0.99946, 0.99825
10.0, 0.93397, 0.89448
5.0, 0.33486, 0.2852
7.0, 0.6577, 0.58392
11.5, 0.97749, 0.9571
12.5, 0.9902, 0.97899
25.0, 1.0, 1.0
28.0, 1.0, 1.0
7.5, 0.72399, 0.65371
30.0, 1.0, 1.0
22.0, 1.0, 1.0
24.5, 1.0, 1.0
22.5, 1.0, 1.0
23.5, 1.0, 1.0
27.0, 1.0, 1.0
23.0, 1.0, 1.0
29.0, 1.0, 1.0
26.0, 1.0, 1.0
29.5, 1.0, 1.0
26.5, 1.0, 1.0
28.5, 1.0, 1.0
27.5, 1.0, 1.0
24.0, 1.0, 1.0
2.0, 0.03028, 0.02572
25.5, 1.0, 1.0
2.5, 0.05385, 0.04512
14.5, 0.99848, 0.99539
4.0, 0.19084, 0.15923
20.0, 0.99999, 0.99996
1.0, 0.00744, 0.00635
16.5, 0.99975, 0.99918
0.0, 0.00101, 0.00111
21.5, 1.0, 1.0
16.0, 0.99966, 0.99873
17.0, 0.99988, 0.99959
3.0, 0.08805, 0.07415
17.5, 0.9999, 0.99963
0.5, 0.00322, 0.00295
20.5, 0.99999, 0.99998
13.5, 0.99581, 0.9901
3.5, 0.13221, 0.1106
15.0, 0.99905, 0.9969
4.5, 0.25961, 0.21825
1.5, 0.0149, 0.0133
21.0, 1.0, 1.0
18.0, 0.99999, 0.99987
19.0, 0.99997, 0.99992
18.5, 0.99998, 0.99984
14.0, 0.99715, 0.99278
