jobID 25846587
noise_avg 0.00498933333333
Fth 7.4393472139
Sth 7.77163737874
Sth_G 0.0108450727347

Flux, Completeness, Completeness_Gauss
29.5, 1.0, 1.0
2.0, 0.98257, 0.97614
1.0, 0.59459, 0.56702
1.5, 0.89503, 0.87347
8.0, 1.0, 1.0
28.0, 1.0, 1.0
10.5, 1.0, 1.0
6.5, 1.0, 1.0
0.0, 0.00086, 0.0009
16.0, 1.0, 1.0
10.0, 1.0, 1.0
28.5, 1.0, 1.0
3.5, 0.99998, 0.99998
5.0, 1.0, 1.0
17.5, 1.0, 1.0
8.5, 1.0, 1.0
30.0, 1.0, 1.0
17.0, 1.0, 1.0
20.0, 1.0, 1.0
22.5, 1.0, 1.0
18.0, 1.0, 1.0
19.5, 1.0, 1.0
20.5, 1.0, 1.0
16.5, 1.0, 1.0
5.5, 1.0, 1.0
23.5, 1.0, 1.0
22.0, 1.0, 1.0
19.0, 1.0, 1.0
6.0, 1.0, 1.0
21.0, 1.0, 1.0
18.5, 1.0, 1.0
11.5, 1.0, 1.0
21.5, 1.0, 1.0
13.0, 1.0, 1.0
7.0, 1.0, 1.0
7.5, 1.0, 1.0
11.0, 1.0, 1.0
12.5, 1.0, 1.0
4.0, 0.99999, 0.99999
27.0, 1.0, 1.0
12.0, 1.0, 1.0
9.0, 1.0, 1.0
2.5, 0.99797, 0.99666
4.5, 1.0, 1.0
9.5, 1.0, 1.0
3.0, 0.99982, 0.99965
24.5, 1.0, 1.0
27.5, 1.0, 1.0
25.0, 1.0, 1.0
15.5, 1.0, 1.0
24.0, 1.0, 1.0
26.0, 1.0, 1.0
25.5, 1.0, 1.0
26.5, 1.0, 1.0
14.0, 1.0, 1.0
15.0, 1.0, 1.0
13.5, 1.0, 1.0
14.5, 1.0, 1.0
29.0, 1.0, 1.0
0.5, 0.14254, 0.13527
23.0, 1.0, 1.0
