jobID 25846783
noise_avg 0.0498453333333
Fth 11.8577700981
Sth 7.8970882337
Sth_G 0.0592154502129

Flux, Completeness, Completeness_Gauss
6.5, 0.84957, 0.776
26.0, 1.0, 1.0
0.0, 0.00086, 0.00093
11.0, 0.99784, 0.99287
12.5, 0.99964, 0.99846
12.0, 0.99935, 0.99732
0.5, 0.00496, 0.00454
10.0, 0.99342, 0.98157
14.0, 0.99993, 0.99966
10.5, 0.99608, 0.98885
14.5, 0.99999, 0.99979
1.0, 0.01495, 0.01339
9.5, 0.98956, 0.97409
15.5, 1.0, 0.99998
13.5, 0.99994, 0.99957
1.5, 0.03661, 0.03172
15.0, 0.99999, 0.99989
8.0, 0.95337, 0.9147
13.0, 0.99976, 0.99894
11.5, 0.99884, 0.99579
16.0, 1.0, 0.99998
3.0, 0.2138, 0.17532
2.0, 0.07496, 0.06203
21.0, 1.0, 1.0
4.0, 0.41304, 0.34623
19.0, 1.0, 1.0
17.0, 1.0, 1.0
25.0, 1.0, 1.0
9.0, 0.98171, 0.9592
23.5, 1.0, 1.0
21.5, 1.0, 1.0
6.0, 0.78726, 0.70694
18.0, 1.0, 1.0
16.5, 0.99999, 0.99998
22.0, 1.0, 1.0
5.0, 0.62397, 0.53817
7.5, 0.92922, 0.87914
5.5, 0.71035, 0.62655
22.5, 1.0, 1.0
27.0, 1.0, 1.0
17.5, 1.0, 1.0
2.5, 0.13375, 0.11064
20.0, 1.0, 1.0
4.5, 0.5204, 0.44205
20.5, 1.0, 1.0
26.5, 1.0, 1.0
24.0, 1.0, 1.0
30.0, 1.0, 1.0
25.5, 1.0, 1.0
28.0, 1.0, 1.0
29.5, 1.0, 1.0
19.5, 1.0, 1.0
18.5, 1.0, 1.0
27.5, 1.0, 1.0
28.5, 1.0, 1.0
7.0, 0.89424, 0.83311
23.0, 1.0, 1.0
24.5, 1.0, 1.0
29.0, 1.0, 1.0
3.5, 0.30713, 0.25416
8.5, 0.97154, 0.94049
