jobID 25846462
noise_avg 0.00490133333333
Fth 4.75979621508
Sth 6.92633442343
Sth_G 0.0256072705682

Flux, Completeness, Completeness_Gauss
4.5, 0.98804, 0.94348
6.5, 0.99969, 0.99611
5.5, 0.99812, 0.98366
1.5, 0.39544, 0.27288
0.0, 0.00093, 0.00099
21.0, 1.0, 1.0
22.0, 1.0, 1.0
15.0, 1.0, 1.0
16.5, 1.0, 1.0
18.0, 1.0, 1.0
18.5, 1.0, 1.0
19.0, 1.0, 1.0
16.0, 1.0, 1.0
17.5, 1.0, 1.0
15.5, 1.0, 1.0
12.5, 1.0, 1.0
17.0, 1.0, 1.0
0.5, 0.04128, 0.03137
2.0, 0.60766, 0.44526
12.0, 1.0, 1.0
2.5, 0.77347, 0.60872
10.0, 1.0, 0.99999
14.0, 1.0, 1.0
29.5, 1.0, 1.0
1.0, 0.18402, 0.12637
11.5, 1.0, 0.99999
29.0, 1.0, 1.0
10.5, 1.0, 0.99999
30.0, 1.0, 1.0
28.0, 1.0, 1.0
14.5, 1.0, 1.0
13.5, 1.0, 1.0
27.5, 1.0, 1.0
11.0, 1.0, 1.0
28.5, 1.0, 1.0
13.0, 1.0, 1.0
6.0, 0.99925, 0.99214
3.0, 0.87898, 0.7398
20.0, 1.0, 1.0
25.5, 1.0, 1.0
27.0, 1.0, 1.0
26.5, 1.0, 1.0
9.0, 1.0, 0.99994
8.0, 0.99999, 0.99955
19.5, 1.0, 1.0
7.5, 0.99997, 0.99914
26.0, 1.0, 1.0
24.5, 1.0, 1.0
4.0, 0.97297, 0.90274
7.0, 0.99989, 0.99795
5.0, 0.99512, 0.9703
8.5, 1.0, 0.9998
3.5, 0.93992, 0.83677
9.5, 1.0, 0.99997
20.5, 1.0, 1.0
23.0, 1.0, 1.0
22.5, 1.0, 1.0
23.5, 1.0, 1.0
24.0, 1.0, 1.0
25.0, 1.0, 1.0
21.5, 1.0, 1.0
