jobID 25846912
noise_avg 0.00502266666667
Fth 6.48310108332
Sth 7.35707929344
Sth_G 0.0151033387756

Flux, Completeness, Completeness_Gauss
8.5, 0.99985, 0.99836
9.0, 0.99994, 0.99914
6.0, 0.99194, 0.96616
20.0, 1.0, 1.0
19.0, 1.0, 1.0
23.5, 1.0, 1.0
7.0, 0.99837, 0.98908
22.5, 1.0, 1.0
23.0, 1.0, 1.0
19.5, 1.0, 1.0
20.5, 1.0, 1.0
3.5, 0.80501, 0.67433
6.5, 0.9965, 0.98163
0.0, 0.00085, 0.00109
21.5, 1.0, 1.0
2.5, 0.53526, 0.40721
3.0, 0.69001, 0.55125
12.0, 1.0, 1.0
4.5, 0.93677, 0.85302
21.0, 1.0, 1.0
22.0, 1.0, 1.0
1.0, 0.07662, 0.05772
11.5, 1.0, 0.99999
13.0, 1.0, 1.0
14.5, 1.0, 1.0
5.5, 0.98373, 0.9444
14.0, 1.0, 1.0
28.0, 1.0, 1.0
12.5, 1.0, 1.0
2.0, 0.35903, 0.26572
8.0, 0.99968, 0.99685
13.5, 1.0, 1.0
9.5, 0.99998, 0.99961
5.0, 0.96825, 0.90849
17.0, 1.0, 1.0
7.5, 0.99921, 0.99434
15.0, 1.0, 1.0
16.5, 1.0, 1.0
24.5, 1.0, 1.0
0.5, 0.01577, 0.01383
18.5, 1.0, 1.0
24.0, 1.0, 1.0
17.5, 1.0, 1.0
16.0, 1.0, 1.0
27.0, 1.0, 1.0
29.0, 1.0, 1.0
25.0, 1.0, 1.0
4.0, 0.88642, 0.77656
15.5, 1.0, 1.0
27.5, 1.0, 1.0
1.5, 0.19681, 0.14505
10.0, 0.99999, 0.9998
11.0, 1.0, 0.99996
18.0, 1.0, 1.0
26.0, 1.0, 1.0
28.5, 1.0, 1.0
25.5, 1.0, 1.0
29.5, 1.0, 1.0
10.5, 0.99999, 0.99988
30.0, 1.0, 1.0
26.5, 1.0, 1.0
