jobID 25846720
noise_avg 0.00501733333333
Fth 1.4094579094
Sth 1.05208934931
Sth_G 0.00672764150288

Flux, Completeness, Completeness_Gauss
1.5, 0.86532, 0.82434
5.0, 0.99987, 0.99968
7.5, 1.0, 1.0
8.0, 1.0, 1.0
9.0, 1.0, 1.0
9.5, 1.0, 1.0
8.5, 1.0, 1.0
17.5, 1.0, 1.0
28.5, 1.0, 1.0
29.5, 1.0, 1.0
27.5, 1.0, 1.0
14.0, 1.0, 1.0
2.5, 0.97687, 0.96133
12.0, 1.0, 1.0
13.0, 1.0, 1.0
12.5, 1.0, 1.0
29.0, 1.0, 1.0
2.0, 0.942, 0.91422
28.0, 1.0, 1.0
11.5, 1.0, 1.0
18.0, 1.0, 1.0
13.5, 1.0, 1.0
15.5, 1.0, 1.0
10.0, 1.0, 1.0
22.5, 1.0, 1.0
19.0, 1.0, 1.0
16.0, 1.0, 1.0
15.0, 1.0, 1.0
6.0, 0.99999, 0.99997
30.0, 1.0, 1.0
21.0, 1.0, 1.0
21.5, 1.0, 1.0
20.0, 1.0, 1.0
19.5, 1.0, 1.0
23.5, 1.0, 1.0
25.0, 1.0, 1.0
26.5, 1.0, 1.0
22.0, 1.0, 1.0
26.0, 1.0, 1.0
23.0, 1.0, 1.0
10.5, 1.0, 1.0
17.0, 1.0, 1.0
20.5, 1.0, 1.0
27.0, 1.0, 1.0
1.0, 0.70106, 0.65431
24.0, 1.0, 1.0
3.0, 0.99132, 0.98344
0.0, 0.10329, 0.10224
5.5, 0.99997, 0.9999
4.5, 0.99958, 0.99906
3.5, 0.99678, 0.99329
0.5, 0.43532, 0.40493
4.0, 0.99879, 0.99701
18.5, 1.0, 1.0
6.5, 1.0, 1.0
11.0, 1.0, 1.0
7.0, 1.0, 1.0
16.5, 1.0, 1.0
25.5, 1.0, 1.0
24.5, 1.0, 1.0
14.5, 1.0, 1.0
