jobID 25846974
noise_avg 0.00491666666667
Fth 7.48387036423
Sth 6.91029189728
Sth_G 0.0103197093292

Flux, Completeness, Completeness_Gauss
19.0, 1.0, 1.0
19.5, 1.0, 1.0
18.5, 1.0, 1.0
3.0, 0.57179, 0.44464
6.5, 0.98877, 0.96168
11.5, 1.0, 0.99992
20.0, 1.0, 1.0
1.0, 0.05598, 0.04041
0.0, 0.00178, 0.00156
12.0, 1.0, 0.99996
20.5, 1.0, 1.0
7.0, 0.9942, 0.97712
13.0, 1.0, 1.0
8.0, 0.9985, 0.99222
4.5, 0.87682, 0.77601
2.0, 0.27282, 0.1984
3.5, 0.70342, 0.57182
12.5, 0.99999, 0.99999
4.0, 0.805, 0.68362
1.5, 0.14346, 0.10134
7.5, 0.99725, 0.98666
0.5, 0.01475, 0.0107
21.0, 1.0, 1.0
5.5, 0.9582, 0.89834
16.0, 1.0, 1.0
24.0, 1.0, 1.0
10.0, 0.99998, 0.9995
18.0, 1.0, 1.0
2.5, 0.42251, 0.31683
22.5, 1.0, 1.0
21.5, 1.0, 1.0
9.0, 0.99974, 0.99789
14.0, 1.0, 1.0
25.5, 1.0, 1.0
25.0, 1.0, 1.0
23.5, 1.0, 1.0
29.5, 1.0, 1.0
8.5, 0.99929, 0.9957
30.0, 1.0, 1.0
24.5, 1.0, 1.0
23.0, 1.0, 1.0
13.5, 1.0, 1.0
29.0, 1.0, 1.0
22.0, 1.0, 1.0
14.5, 1.0, 1.0
28.0, 1.0, 1.0
28.5, 1.0, 1.0
16.5, 1.0, 1.0
10.5, 0.99999, 0.99974
11.0, 0.99997, 0.99983
6.0, 0.97732, 0.93569
17.5, 1.0, 1.0
26.5, 1.0, 1.0
27.0, 1.0, 1.0
5.0, 0.92784, 0.84706
26.0, 1.0, 1.0
27.5, 1.0, 1.0
9.5, 0.99984, 0.99882
15.5, 1.0, 1.0
15.0, 1.0, 0.99999
17.0, 1.0, 1.0
