jobID 25846399
noise_avg 0.004956
Fth 6.14991395636
Sth 7.01575610524
Sth_G 0.0148355121793

Flux, Completeness, Completeness_Gauss
11.0, 1.0, 1.0
19.5, 1.0, 1.0
4.5, 0.99962, 0.9946
29.0, 1.0, 1.0
17.0, 1.0, 1.0
24.0, 1.0, 1.0
22.0, 1.0, 1.0
22.5, 1.0, 1.0
5.5, 0.99997, 0.99934
21.5, 1.0, 1.0
27.5, 1.0, 1.0
14.0, 1.0, 1.0
17.5, 1.0, 1.0
30.0, 1.0, 1.0
4.0, 0.99764, 0.98343
1.5, 0.55346, 0.38932
18.0, 1.0, 1.0
15.5, 1.0, 1.0
16.0, 1.0, 1.0
23.5, 1.0, 1.0
19.0, 1.0, 1.0
16.5, 1.0, 1.0
14.5, 1.0, 1.0
21.0, 1.0, 1.0
8.5, 1.0, 1.0
3.0, 0.97222, 0.90294
9.0, 1.0, 1.0
15.0, 1.0, 1.0
0.0, 0.00129, 0.00124
28.0, 1.0, 1.0
28.5, 1.0, 1.0
2.0, 0.78823, 0.61987
13.5, 1.0, 1.0
25.5, 1.0, 1.0
25.0, 1.0, 1.0
29.5, 1.0, 1.0
5.0, 0.99993, 0.99836
2.5, 0.91571, 0.79291
9.5, 1.0, 1.0
6.5, 1.0, 0.99996
11.5, 1.0, 1.0
0.5, 0.05332, 0.035
7.0, 1.0, 0.99997
26.0, 1.0, 1.0
8.0, 1.0, 1.0
23.0, 1.0, 1.0
6.0, 1.0, 0.9998
24.5, 1.0, 1.0
27.0, 1.0, 1.0
26.5, 1.0, 1.0
10.0, 1.0, 1.0
12.5, 1.0, 1.0
20.0, 1.0, 1.0
13.0, 1.0, 1.0
18.5, 1.0, 1.0
20.5, 1.0, 1.0
10.5, 1.0, 1.0
12.0, 1.0, 1.0
7.5, 1.0, 1.0
1.0, 0.25997, 0.16603
3.5, 0.99174, 0.95959
